Nom,Adresse,Horaires,Heure de scraping,Note
Le Sirocco,Restaurant 8 Bis rue Gobelins 75013 Paris,Ouvre à 19h00,2025-08-13 17:15:31,
Santa Carne,3 boulevard Richard Lenoir 75011 Paris,Ouvre à 19h00,2025-08-13 17:15:31,5
