Nom,Téléphone,Adresse,Horaires,Heure de scraping
Restaurant Tipaza,01 45 54 01 17,155 rue St Charles 75015 Paris Voir le plan,Ouvre à 19h00,2025-08-13 17:56:37
Grand Zino,"01 44 40 45 10, 01 45 78 92 37",97 avenue Villiers 75017 Paris Voir le plan,Ouvre à 19h00,2025-08-13 17:56:39
