Nom,Horaires,Note,Avis,Tags,Description,Heure de scraping
Café du Commerce,Ouvre à 19h00,5,(3 avis),"wifi, cuisine française, repas de groupe, restaurant sud-ouest, plat à emporter, restaurant aveyronnais, fait maison, ","Pour vos réservations, ne pas confondre les Café du Commerce. Le Café du Commerce de la Butte-aux-Cailles, un petit restaurant du 13e arrondissement de Paris vous invite à venir découvrir sa cuisine traditionnelle Du mardi au dimanche, nous vous élaborons un repas fait maison avec des produits frais, des plats du jour tous les midis. Parmi nos spécialités, le foie gras et les glaces réalisées par notre chef, la souris d'agneau par exemple cuite 7h avec des lentilles au lard tous les samedis. Pour vos réservations, veuillez appeler le 07 72 17 02 88. Pour plus d'informations, contactez-nous.",2025-08-13 17:02:28
Restaurant Tipaza,Ouvre à 19h00,5,(11 avis),"climatisation, restaurant marocain, animaux acceptés, restaurant berbère, terrasse, couscous, , ","C'est dans le 15ème arrondissement de Paris que le restaurant le Tipaza (depuis 1984) vous promet voyage et dépaysement. Nous vous servons une cuisine berbère, dans un décor mauresque. Des couscous plein de saveur, des tajines savoureux, des grillades et des poissons cuits à point, la cuisine Berbère vous offre ici une large palette de spécialités qui marient à merveille épices et goût. Une cuisiné réalisée dans les règles de l'art et dans la plus pure tradition ! Une occasion spéciale ? Un événement privé ou professionnel ? Le Tipaza est à l'écoute de vos demandes.",2025-08-13 17:02:28
